sub,Negative_invalid_0.03,Negative_invalid_0.08,Negative_invalid_0.2,Negative_invalid_0.45,Negative_invalid_0.75,Negative_valid_0.03,Negative_valid_0.08,Negative_valid_0.2,Negative_valid_0.45,Negative_valid_0.75,Neutral_invalid_0.03,Neutral_invalid_0.08,Neutral_invalid_0.2,Neutral_invalid_0.45,Neutral_invalid_0.75,Neutral_valid_0.03,Neutral_valid_0.08,Neutral_valid_0.2,Neutral_valid_0.45,Neutral_valid_0.75,Positive_invalid_0.03,Positive_invalid_0.08,Positive_invalid_0.2,Positive_invalid_0.45,Positive_invalid_0.75,Positive_valid_0.03,Positive_valid_0.08,Positive_valid_0.2,Positive_valid_0.45,Positive_valid_0.75
1,0.541666667,0.635416667,0.760416667,0.842105263,0.86,0.555555556,0.680555556,0.805555556,0.906542056,0.914285714,0.541666667,0.625,0.729166667,0.833333333,0.916666667,0.520833333,0.71875,0.861111111,0.902777778,0.930555556,0.520833333,0.645833333,0.791666667,0.854166667,0.895833333,0.527777778,0.743055556,0.861111111,0.888888889,0.902777778
2,0.560606061,0.729166667,0.833333333,0.875,0.875,0.596153846,0.708333333,0.875,0.916666667,0.944444444,0.583333333,0.770833333,0.8125,0.854166667,0.9375,0.585714286,0.791666667,0.847222222,0.930555556,0.944444444,0.5625,0.645833333,0.75,0.895833333,0.916666667,0.611111111,0.777777778,0.847222222,0.930555556,0.944444444
3,0.625,0.708333333,0.791666667,0.895833333,0.895833333,0.611111111,0.819444444,0.916666667,0.928571429,0.944444444,0.583333333,0.666666667,0.75,0.791666667,0.854166667,0.59375,0.746478873,0.814285714,0.85915493,0.865671642,0.645833333,0.717391304,0.75,0.895833333,0.916666667,0.638888889,0.757142857,0.842857143,0.928571429,0.914285714
4,0.645833333,0.875,0.8125,0.875,0.854166667,0.652777778,0.75,0.847222222,0.861111111,0.861111111,0.645833333,0.854166667,0.833333333,0.979166667,0.895833333,0.694444444,0.861111111,0.958333333,0.916666667,0.888888889,0.645833333,0.875,0.854166667,0.895833333,0.9375,0.652777778,0.75,0.958333333,0.916666667,0.875
5,0.666666667,0.739130435,0.8125,0.826086957,0.854166667,0.68115942,0.763888889,0.819444444,0.887323944,0.916666667,0.583333333,0.645833333,0.708333333,0.791666667,0.854166667,0.597222222,0.680555556,0.777777778,0.875,0.875,0.666666667,0.708333333,0.770833333,0.8125,0.854166667,0.652777778,0.763888889,0.805555556,0.833333333,0.847222222
6,0.583333333,0.729166667,0.895833333,0.875,0.9375,0.555555556,0.777777778,0.916666667,0.902777778,0.944444444,0.645833333,0.729166667,0.854166667,0.9375,0.895833333,0.638888889,0.75,0.847222222,0.944444444,0.875,0.5,0.673913043,0.833333333,0.854166667,0.911111111,0.611111111,0.742857143,0.888888889,0.914285714,0.915492958
7,0.545454545,0.666666667,0.666666667,0.770833333,0.75,0.485714286,0.694444444,0.805555556,0.847222222,0.833333333,0.581395349,0.645833333,0.6875,0.770833333,0.8125,0.521126761,0.652777778,0.791666667,0.794117647,0.819444444,0.543478261,0.622222222,0.680851064,0.777777778,0.808510638,0.573529412,0.728571429,0.774647887,0.805555556,0.811594203
8,0.520833333,0.604166667,0.479166667,0.520833333,0.458333333,0.541666667,0.458333333,0.472222222,0.486111111,0.569444444,0.5,0.583333333,0.604166667,0.333333333,0.479166667,0.541666667,0.486111111,0.486111111,0.555555556,0.430555556,0.5625,0.5,0.4375,0.541666667,0.395833333,0.652777778,0.555555556,0.541666667,0.486111111,0.555555556
9,0.541666667,0.615384615,0.631578947,0.731707317,0.731707317,0.557142857,0.682539683,0.765625,0.806451613,0.816666667,0.545454545,0.590909091,0.6,0.75,0.829787234,0.560606061,0.661016949,0.763888889,0.805555556,0.842857143,0.479166667,0.5625,0.571428571,0.695652174,0.825,0.527777778,0.583333333,0.68115942,0.764705882,0.841269841
10,0.520833333,0.574468085,0.645833333,0.708333333,0.739130435,0.541666667,0.614285714,0.777777778,0.85915493,0.875,0.479166667,0.583333333,0.617021277,0.717391304,0.791666667,0.472222222,0.652777778,0.753623188,0.771428571,0.805970149,0.5625,0.604166667,0.666666667,0.708333333,0.666666667,0.597222222,0.555555556,0.638888889,0.625,0.694444444
11,0.512820513,0.6875,0.66,0.787234043,0.788461538,0.523076923,0.694444444,0.756097561,0.844444444,0.864583333,0.512820513,0.5625,0.6875,0.6875,0.833333333,0.523076923,0.722222222,0.791666667,0.803030303,0.848484848,0.512820513,0.604166667,0.6875,0.791666667,0.8125,0.523076923,0.666666667,0.782608696,0.787878788,0.828125
12,0.5,0.5625,0.6875,0.666666667,0.75,0.569444444,0.541666667,0.694444444,0.842105263,0.887323944,0.527777778,0.525,0.583333333,0.645833333,0.833333333,0.518518519,0.661538462,0.694444444,0.819444444,0.847222222,0.5,0.642857143,0.652173913,0.75,0.813953488,0.519230769,0.671428571,0.745762712,0.8125,0.813559322
13,0.53125,0.625,0.71875,0.75,0.756097561,0.520833333,0.645833333,0.78125,0.8125,0.797979798,0.512820513,0.547619048,0.6,0.6875,0.854166667,0.444444444,0.684210526,0.742424242,0.805555556,0.833333333,0.516129032,0.5,0.587301587,0.754385965,0.766666667,0.541666667,0.595238095,0.684782609,0.76744186,0.783783784
